keys	en
research_perpetual_motion_desc	Unlocks the use of perpetual generators as a power source
research_builder_robot	Builder Robot
research_builder_robot_desc	Unlocks robots that can manage generators
research_passives	Perks
research_passives_desc	Unlocks a new set of limited upgrades in the talents tab
research_physicist_robot	Physicist Robot
research_physicist_robot_desc	Unlocks robots that can automate field modulation
research_space_warp	Space Condenser
research_space_warp_desc	Unlocks a machine capable of condensing space over time, increasing the time speed
research_ultimate_lab	Ultimate Laboratory
research_ultimate_lab_desc	Automatically converts Science A into Science B points
research_hack_specialist	Hack Specialization
research_hack_specialist_desc	Increases battery recharge rate by 100% WARNING: Resets your hack progress
research_hack_mastery	Hack Mastery
research_hack_mastery_desc	Increases max battery by 100% WARNING: Resets your hack progress
research_module_specialist	Module Specialization
research_module_specialist_desc	Adds an additional module slot WARNING: Resets equipped modules
research_tier4	Tier 4
research_tier4_desc	Unlocks the option to T4 Reboot and produce Science D points
research_infinity_milestones	Infinity Milestones
research_infinity_milestones_desc	Unlocks unlimited milestones
research_temporal_robot	Temporal Robot
research_temporal_robot_desc	Unlocks robots that can automate space shaping machines
research_uber_lab	Uber Laboratory
research_uber_lab_desc	Automatically converts Science B into Science C points
tier_1	Tier 1
tier_2	Tier 2
tier_3	Tier 3
tier_4	Tier 4
perk_speed	Upload Speed x2
perk_mining_power	Mining Power x2
perk_clock_speed	Clock Speed
perk_amplifier_points	Amplifier Points
perk_flux	Flux x2
perk_graviton	Graviton x2
perk_passive_points	Perk Points
perk_infinity_milestones	All Infinity Milestones +1
perk_infinity_speed	Infinity Upload Speed x2
perk_infinity_mining_power	Infinity Mining Power x2
perk_infinity_flux	Infinity Flux x2
perk_infinity_graviton	Infinity Graviton x2
task_automation	Task Automation
robots	Robots
work_time	Work Time
assign_a_robot	Assign a robot to automate this task
robot_tech	Tech Robot
robot_tech_desc	Purchases, upgrade and overclock components
bot_gpu	Purchase GPU
bot_network	Purchase Network
bot_cpu	Purchase CPU
robot_industrial	Industrial Robot
robot_industrial_desc	Purchases and upgrade the Overclocker and the Fabricator
bot_overclocker	Purchase Overclocker
bot_overclock_gpu	Overclock GPU
bot_overclock_network	Overclock Network
bot_builder	Manage Generators
bot_manufactory	Purchase Circuit Fabricator
bot_engineer	Manage Modifications
robot_scientist	Scientist Robot
robot_scientist_desc	Upgrades science related systems
bot_physicist	Upgrade Flow Fields
bot_temporal	Purchase Shaper Machines
robot_assistant	Assistant Robot
robot_assistant_desc	Automate hacks and artifacts
bot_hacker	Hack
bot_clicker	Click Artifacts
hack_farm	Print
hack_farm_desc	Prints # seconds worth of credits
hack_overheat	Overheat
hack_overheat_desc	Boosts mining power by #% while holding
hack_quicken	Quicken
hack_quicken_desc	Boosts upload speed by #% while holding
hack_skip	Skip
hack_skip_desc	Fast forwards # seconds in time
hack_protect	Protect
hack_protect_desc	Prevents disconnections for @ seconds
hack_recharge	Recharge
hack_recharge_desc	Boosts battery recharge rate by #% while holding
hack_neutralize	Neutralize
hack_neutralize_desc	Neutralizes every virus on the screen and converts them into artifacts
hack_optimize	Optimize
hack_optimize_desc	Increases upload speed and mining power by #% for @ seconds
hack_scan	Scan
hack_scan_desc	Boosts artifact spawn rate by #% while holding
hack_reveal	Reveal
hack_reveal_desc	Reveals a random artifact
hack_trigger	Trigger
hack_trigger_desc	Trigger all equipped hacks on use. Trigger all equipped hacks while holding
hack_extend	Extend
hack_extend_desc	Extends the duration of all non-premium boost effects
hack_panic_recharge	Panic Recharge
hack_panic_recharge_desc	Sets your current battery to a different value
hack_engage	Engage
hack_engage_desc	Activates a random equipped hack at no additional cost
hack_print	Convert
hack_print_desc	Consumes all battery to print credits
hack_overcharge	Overcharge
hack_overcharge_desc	Boosts power generation by #% while holding
hack_augment	Augment
hack_augment_desc	Boosts electronics production by #% while holding
hack_amplify	Amplify
hack_amplify_desc	Generates 1 charge per use. If not used for 1 second, all charges will be consumed to apply a #% performance boost for each charge during @ seconds. Increases energy cost by 25 for each charge
hack_bulk_print	Bulk Print
hack_bulk_print_desc	Consumes 10% of your maximum battery to print credits based on the battery consumed. Increases credits printed by x# for each amount of battery consumed.
hack_upgrade_economy	Economy
hack_upgrade_economy_desc	Reduces battery usage by #%
hack_upgrade_power	Power
hack_upgrade_power_desc	Increases effectiveness and battery usage by #%
hack_upgrade_power_alt_desc	Increases effectiveness by #%
hack_upgrade_duration	Length
hack_upgrade_duration_desc	Increases duration and battery usage by #%
hack_upgrade_automation	Automation
hack_upgrade_automation_desc	Automatic use
hack_upgrade_automation_alt_desc	Automatic use on full battery
hack_upgrade_automation_alt2_desc	Automatic use on full battery. +#% battery usage
time_skipped	Skipped # seconds
item_speed_boost	Speed Boost
item_speed_boost_desc	Boosts your connection speed by 100% for 30 minutes
item_credits	Credits
item_credits_desc	Instantly grants you with 5 minutes worth of credits
item_battery_boost	Battery Boost
item_battery_boost_desc	Boosts battery recharge rate by 50% for 20 minutes
item_luck_boost	Luck Boost
item_luck_boost_desc	Boosts the spawn rate of artifacts by 50% for 20 minutes
item_resource_desc	Used in module crafting
item_upgrade_reset	Upgrade Refund
item_upgrade_reset_desc	Refund all talent points spent
item_hack_reset	Hack Reset
item_hack_reset_desc	Refund all hack points spent
time_left	# remaining
resource_wire	Wire
resource_transistor	Transistor
resource_wafer	Wafer
resource_pcb	PCB
module_autoclicker	Autoclicker
module_autoclicker_desc	Automatically collects artifacts and parts. Caution: Might also collect viruses
module_eliminator	Eliminator
module_eliminator_desc	Neutralizes viruses, recharging 20% of your total battery for each virus eliminated
module_ram	DDR6 RAM
module_ram_desc	Increases the amount of upload slots
module_battery	Lithium Battery
module_battery_desc	Increases battery capacity
module_charger	Power Charger
module_charger_desc	Increases battery recharge rate
module_breadboard	Breadboard
module_breadboard_desc	Increases the production of module parts
module_lens	Nano-Lens
module_lens_desc	Increases artifact spawn rate
module_zip_license	Zip License
module_zip_license_desc	Decreases the size of uploads
module_rgb	RGB Lights
module_rgb_desc	Increases system performance
module_discharger	Discharger
module_discharger_desc	Refills battery every 60 seconds. Your battery recharge rate is 0
module_infected_charger	Infected Charger
module_infected_charger_desc	Increases virus spawn chance by 100%
module_heavy_battery	Heavy Battery
module_heavy_battery_desc	Reduces battery recharge rate by 50%
module_corrupted_lens	Corrupted Lens
module_corrupted_lens_desc	Collecting artifacts destroy all other artifacts and viruses
module_charge_booster	Charge Booster
module_charge_booster_desc	Increases performance based on your maximum battery. Reduces your maximum battery by half
module_midas	Midas Touch
module_midas_desc	Converts all artifacts into credit artifacts
module_greed	Greed
module_greed_desc	Consumes all battery while on full battery
module_power_lens	Power Lens
module_power_lens_desc	Drains 40 battery every second
module_packager	Packager
module_packager_desc	Uploads are periodically corrupted
module_equalizer	Equalizer
module_equalizer_desc	Increases performance by 50% for each unused module slot
module_hack_equalizer	Hack Equalizer
module_hack_equalizer_desc	Increases battery recharge by 25% for each unused hack slot
module_idlelizer	Idle Catalyst
module_idlelizer_desc	Your battery, battery recharge and luck becomes 0
field_modulation_title	Field Modulation
flow	Flow
flux	Flux
field	Field
absorb	Choose an unit to absorb
flux_flow	Flux Flow
credits_flow	Credits Flow
data_flow	Speed Flow
energy_flow	Power Flow
electronics_flow	Electronics Flow
flow_up	Flow Up
flow_field	Flow Field
flow_field_desc	Expand all flow fields to reset
reset_grid	RESET GRID
time	Time
graviton	Graviton
machine_collider	Graviton Collider
machine_collider_desc	Produces Gravitons using powerful gravitational waves
machine_space_warper	Space Warper
machine_space_warper_desc	Warps up space, increasing time speed
machine_space_condenser	Space Condenser
machine_space_condenser_desc	Condenses space over time, increasing time acceleration
new_game	New Game+
dimensional_gate	Dimensional Gate
umc	Universal Arithmetic Multiplier
new_game_desc	Upload the required data to enter the dimensional gate and restart your adventure from zero with an additional universal multiplier
new_game_warning	This process resets level, research, hacks and modules
congratulations	Congratulations Uploader
new_game_dialog_intro1	As you upload the last bit of information, your mind expanded beyond comprehension, you realize the true extent of your power. You have become the Laplace's Demon, a being that knows everything in the universe. The weight of this knowledge is both exhilarating and overwhelming.
new_game_dialog_intro2	You can see the past, present, and future, all laid out before you like an intricate tapestry. You understand the laws of physics, the mysteries of the cosmos, and the deepest secrets of existence. Nothing is hidden from your all-seeing gaze.
new_game_dialog_intro3	But why have you sought this power? Is it because of pure curiosity? Or is it for power?
choice_curiosity	Curiosity
curiosity_desc	Your search for knowledge fuels you. You wish to comprehend the past, observe history unfold, witness the universe evolving, and glimpse into the future. The unknown does not intimidate you, it draws you closer.
curiosity_upgrade	This upgrade increases your science points by x5.
choice_power	Power
power_desc	The end justifies the means. This mantra, etched in the recesses of your mind, guides your actions and shapes your worldview. You envision a universe where you stand as the ultimate authority, where every decision, every choice, is made with unwavering conviction that the outcome justifies any path taken to reach it.
power_upgrade	This upgrade increases your performance by x2.
press_to_continue	Press to continue
teleport_warning_desc	Entering a different universe will reset your progress in the current universe. Bonuses from New Game+ will be maintained.
enter	Enter
current	Current
discovered	Discovered
universe_default	Default Universe
universe_default_desc	Your starting universe. Everything is normal here.
universe_downloader	Download Sim Universe
universe_downloader_desc	Embrace the role of a traditional uploader, foregoing the use of GPUs for mining. Starts with one network component.
universe_gamer	Gamer Universe
universe_gamer_desc	In this universe you are a gamer who also happens to be a talented hacker. You have infinite hack points, have twice as much battery recharge rate, but can only upload games.
universe_infected	Infected Universe
universe_infected_desc	A parallel universe where computer viruses took over. Every level increases virus spawn rate by 1%, and they apply a 50% performance reduction when active. Viruses can be destroyed by clicking on them.
universe_hardcore	Hardcore Universe
universe_hardcore_desc	A challenging universe where everything is more expensive, viruses and disconnections are more common and cannot be removed, and artifacts fade away faster.
universe_unlucky	Misfortune Universe
universe_unlucky_desc	Become a clumsy uploader that constantly fails in simple tasks like component upgrades. Upgrading components, the overclocker, the fabricator and shaper machines has a 50% chance to fail. Artifacts become uncommon.
universe_unlucky_hardcore	Hellish
universe_unlucky_hardcore_desc	You are a clumsy uploader in a harsh world. Everything is more expensive, upgrading components, the overclocker, the fabricator and shaper machines has a 50% chance to fail. Viruses and disconnections cannot be removed, and artifacts become uncommon and fade away faster.
unknown_universe	Unknown Universe
unknown_universe_desc	Complete # to unlock
passive_credits	Wealth
passive_credits_desc	Increases mining power by #%
passive_speed	Overflow
passive_speed_desc	Increases upload speed by #%
passive_energy	Supercharge
passive_energy_desc	Increases power generation by #%
passive_production	Surplus
passive_production_desc	Increases electronics production by #%
passive_battery_recharge	Frenzy
passive_battery_recharge_desc	Increases battery recharge by #%
passive_battery	Endurance
passive_battery_desc	Increases battery capacity by #%
passive_artifacts	Duping
passive_artifacts_desc	Artifacts are duplicated
passive_offline_ratio	Harvest
passive_offline_ratio_desc	Increases offline gains by #%
passive_sustain	Sustain
passive_sustain_desc	Increases artifact duration by #%
passive_defect	Defect
passive_defect_desc	Increases the chance of disconnection events by #%
passive_compression	Compression
passive_compression_desc	Reduces upload file size level by 1
attribute_compression	#% Compression
attribute_performance	#% Performance
attribute_speed	#% Upload Speed
attribute_mining	#% Mining Power
attribute_slot	# Upload Slot
attribute_max_battery	#% Maximum Battery
attribute_battery_recharge	#% Battery Recharge
attribute_resource_increase	#% Parts Production
attribute_luck	#% Luck
achievements	Achievements
achievement_innovation_journey	Journey to Innovation
achievement_innovation_journey_desc	Complete all tutorial tasks
achievement_back_on_the_job	Back on the Job
achievement_back_on_the_job_desc	Return to play for a second time
achievement_for_science	For Science!
achievement_for_science_desc	Get a virus
achievement_delivered	You're Welcome
achievement_delivered_desc	Complete an upload request
achievement_quick_thinker	Quick Thinker
achievement_quick_thinker_desc	Reconnect under 3 seconds after being disconnected
achievement_active_user	Active User
achievement_active_user_desc	Complete 3 daily tasks
achievement_procrastinator	Procrastinator
achievement_procrastinator_desc	Have 10 artifacts on the screen at the same time
achievement_innovator	Innovator
achievement_innovator_desc	Reboot for the first time
achievement_newbie	Upload Newbie
achievement_time_desc	Play for # hours
achievement_veteran	Upload Veteran
achievement_experienced	Experienced Uploader
achievement_advanced	Advanced Uploader
achievement_hackerman	Hackerman
achievement_hackerman_desc	Unlock all hacks
achievement_prodigious	Prodigious
achievement_prodigious_desc	Spend at least 5 hack points on a single hack
achievement_ftl	Faster Than Light
achievement_ftl_desc	Upgrade to a Data Entangloporter
achievement_eco_friendly	Eco-Friendly
achievement_eco_friendly_desc	Own # Solar Panels
achievement_eco_unfriendly	Eco-Unfriendly
achievement_eco_unfriendly_desc	Own # Coal Generators
achievement_absolute_zero	Absolute Zero
achievement_absolute_zero_desc	Reach 0K temperature
achievement_ngnt	Not Great, Not Terrible
achievement_ngnt_desc	Own # Fission Reactors
achievement_sun_harvester	Sun Harvester
achievement_sun_harvester_desc	Own # Dyson Spheres
achievement_perfectly_balanced	Perfectly Balanced
achievement_perfectly_balanced_desc	Own one unit of each power source
achievement_expert_engineer	Expert Engineer
achievement_expert_engineer_desc	Have all modifications active on the manufactory
achievement_specialty	Specialty
achievement_specialty_desc	Have over # module score
achievement_optimizer	Optimizer
achievement_optimizer_desc	Upgrade a module to its max level
achievement_fully_modded	Fully Modded
achievement_fully_modded_desc	Have 6 modules installed at the same time
achievement_fine_craftsmanship	Fine Craftsmanship
achievement_fine_craftsmanship_desc	Craft a grade S module
achievement_unlimited_power	Unlimited Power
achievement_unlimited_power_desc	Have #% battery capacity or more
achievement_overpowered	Overpowered
achievement_overpowered_desc	Have more battery recharge than battery capacity
achievement_247	24/7 Uploader
achievement_247_desc	Avoid 5 disconnections in a row
achievement_cleansing	System Cleansing
achievement_cleansing_desc	Eliminate # viruses
achievement_epic_moment	Mom Get the Camera!
achievement_epic_moment_desc	Have an artifact hit the corner of the screen
achievement_artist	Artist
achievement_artist_desc	Upload all # images
achievement_composer	Composer
achievement_composer_desc	Upload all # musics
achievement_cinephile	Cinephile
achievement_cinephile_desc	Upload all # videos
achievement_gamer	Gamer
achievement_gamer_desc	Upload all # games
achievement_royal	Royal
achievement_royal_desc	Upload all # requests
achievement_great_automation	Grand Automation
achievement_great_automation_desc	Have over # active robots
achievement_variety_uploader	Variety Uploader
achievement_variety_uploader_desc	Have equals amount of images, musics, videos and games uploaded
achievement_crypto_denial	Crypto Denialer
achievement_crypto_denial_desc	Reach level 100 without ever upgrading the GPU component
achievement_visionary	Visionary Breakthrough
achievement_visionary_desc	Perform a T2 reboot
achievement_monumental	Monumental Breakthrough
achievement_monumental_desc	Perform a T3 reboot
achievement_endgame	Endgame
achievement_endgame_desc	Perform a T4 reboot
achievement_laplace	Laplace's Demon
achievement_laplace_desc	Become omniscient
achievement_pointless_effort	Pointless Effort
achievement_pointless_effort_desc	Expand all fields in a single grid
achievement_field_scientist	Field Scientist
achievement_field_scientist_desc	Complete a grid without getting a single void field
achievement_traveler	Dimensional Traveler
achievement_traveler_desc	Complete all universes
progress	Progress
completed	Completed
statistics	Statistics
stats_sessions	Sessions
stats_data	Data Uploaded
stats_credits	Credits Earned
stats_points	Points Produced
stats_energy	Energy Generated
stats_electronics	Electronics Fabricated
stats_diamonds	Diamonds Produced
stats_level	Highest Level
stats_viruses	Virus Infections
stats_viruses_eliminated	Viruses Eliminated
stats_disconnections	Disconnections
stats_disconnections_avoided	Disconnections Avoided
stats_reconnections	Reconnections
stats_downloads	Uploads Completed
stats_daily_tasks	Daily Tasks Completed
stats_highest_network	Highest Network Level
stats_highest_gpu	Highest GPU Level
stats_highest_cpu	Highest CPU Level
stats_reboots	T1 Reboots
stats_hard_reboots	T2 Reboots
stats_resets	T3 Reboots
stats_hard_resets	T4 Reboots
stats_warps	New Game+
stats_ng_choice	New Game Choice
stats_artifacts	Artifacts Collected
stats_artifacts_destroyed	Artifacts Destroyed
stats_hacks	Hacks Used
stats_hack_time	Time Hacking
stats_images	Images Uploaded
stats_musics	Musics Uploaded
stats_videos	Videos Uploaded
stats_games	Games Uploaded
stats_requests	Requests Completed
stats_images_progress	Images Completion
stats_musics_progress	Musics Completion
stats_videos_progress	Videos Completion
stats_games_progress	Games Completion
stats_requests_progress	Requests Completion
stats_ads	ADs Watched
stats_time_played	Time Played
stats_age	Age
task_first_steps	A Guide to Innovation
task_first_steps1_desc	Gather enough credits and purchase a network component under the components tab
task_first_steps2_desc	Select a file format above to start uploading files
task_first_steps3_desc	Upload enough data to level up
task_first_steps4_desc	Use the talent point under the upgrades tab
task_first_steps5_desc	Perform a reboot using your uploaded data with the laboratory once you reached at least 1MB of data
task_printing	Printing Credits
task_printing_desc	Press the round button below to generate credits with the Print hack
task_hacking_basics	Hacking Basics
task_hacking_basics1_desc	Keep using hacks until you level up your hacking skill. You can check your progress by pressing the round button in the corner
task_hacking_basics2_desc	Head over to the hacks tab and unlock a new hack or upgrade one using your hack points
task_artifacts	Artifacts
task_artifacts_desc	Click on the random appearing objects on the screen to collect them, but beware of viruses
task_disconnections	Disconnections
task_disconnections_desc	Click on the random appearing power plugs to avoid disconnection events. Tip: you can avoid disconnections entirely by purchasing the Signal talent
task_downloads_image	Collage
task_downloads_image_desc	Complete uploads with the image format
task_downloads_music	New Playlist
task_downloads_music_desc	Complete uploads with the music format
task_downloads_video	Movie Night
task_downloads_video_desc	Complete uploads with the video format
task_downloads_game	New Playthrough
task_downloads_game_desc	Complete uploads with the game format
task_downloads_request	Timed Delivery
task_downloads_request_desc	Complete upload requests
task_artifacts_daily	Artifact Hunt
task_artifacts_daily_desc	Collect artifacts
task_destroy_viruses	Quarantine
task_destroy_viruses_desc	Destroy viruses
task_use_battery	System Breach
task_use_battery_desc	Consume battery
task_play	Let's Play
task_play_desc	Play for 20 minutes
level_up	Level Up
points_received	New talent point available!
hack_level_up	Hacking #
hack_points_received	New hack point available!
perk_level_up	New Milestone
perk_level_up_desc	# Leveled Up!
new_achievement	New Achievement
task_completed	Task Completed
offline_earnings	Offline Earnings
offline_earnings_info	You were offline for {time} and used {percentage} of your total offline time
unknown	Unknown
unknown_upgrade	Unknown Talent
unknown_tech	Unknown Technology
unknown_hack	Unknown Hack
unknown_item	Unknown Item
unknown_module	Unknown Module
unknown_perk	Unknown Milestone
reputation_required	Requires level # to unlock
research_required	Requires # technology
request_received	You received a special upload request!
connection_lost	Connection Lost
reconnecting...	Reconnecting...
reconnected	Reconnected
resuming	Resuming
incorrect_password	Incorrect Password
clear_cache	Clear Cache
match_switches	Match the Switches
brute_force	Brute Force
supercharged	#% Supercharge
superspeed	#% Speed
uploads_corrupted	Corruption
settings	Settings
display	Display
fps_limit	FPS Limit
blur_strength	Blur Strength
post_processing	Post Processing
borderless_fullscreen	Borderless Window
scientific_notation	Scientific Notation
hide_popups	Hide Popups
hide_artifacts	Hide Artifacts
hide_notifications	Hide Level Up Notifications
hide_rgb	Hide RGB
light_filter	Blue Filter
language	Language
sound	Sound
mute	Mute
sfx_volume	Sound Effects
bgm_volume	Background Music
mute_uploads	Mute Uploads
mute_hacks	Mute Hacks
mute_artifacts	Mute Artifacts
misc	Misc
disable_vibration	Disable Vibrations
save_management	Save Management
cloud_save_available	Cloud Save Available
auto_sign_in	Sign In on Startup
cloud_auto_save	Cloud Auto Save
quick_expand	Quick Field Expand
load	Load
save	Save
sign_in	Sign In
sign_out	Sign Out
signed_in	Signed In successfully
signed_out	Signed out successfully
saved	Saved with success
save_fail	Failed to save the game, please try again later
